iter	Passed	Remaining
0	139	27829
1	143	14211
2	147	9707
3	151	7445
4	155	6058
5	159	5170
6	164	4537
7	168	4042
8	172	3659
9	176	3350
10	179	3091
11	184	2893
12	188	2717
13	192	2560
14	197	2434
15	201	2319
16	205	2210
17	210	2125
18	214	2040
19	218	1968
20	222	1894
21	226	1835
22	230	1775
23	235	1723
24	239	1675
25	243	1628
26	248	1589
27	252	1552
28	256	1510
29	260	1478
30	265	1447
31	269	1414
32	274	1387
33	278	1360
34	282	1332
35	287	1307
36	291	1283
37	295	1259
38	299	1236
39	303	1215
40	307	1191
41	312	1173
42	315	1151
43	319	1133
44	323	1115
45	327	1097
46	331	1080
47	336	1066
48	341	1051
49	345	1036
50	350	1023
51	354	1009
52	359	997
53	363	983
54	368	970
55	372	957
56	376	944
57	379	930
58	384	919
59	389	908
60	393	897
61	398	886
62	402	875
63	406	864
64	411	854
65	415	843
66	419	832
67	423	821
68	426	810
69	431	800
70	434	790
71	439	781
72	443	772
73	448	763
74	452	754
75	456	744
76	460	735
77	464	726
78	468	718
79	473	709
80	477	701
81	481	692
82	485	684
83	489	676
84	493	668
85	498	660
86	502	652
87	505	643
88	510	636
89	514	628
90	518	621
91	522	613
92	527	606
93	531	599
94	535	591
95	539	584
96	544	577
97	548	570
98	552	563
99	557	557
100	561	549
101	565	543
102	569	536
103	573	529
104	577	522
105	581	515
106	585	509
107	589	502
108	593	495
109	598	489
110	602	483
111	606	476
112	610	470
113	614	463
114	619	457
115	623	451
116	627	445
117	631	439
118	635	432
119	639	426
120	644	420
121	647	413
122	651	407
123	655	401
124	659	395
125	663	389
126	667	383
127	671	377
128	675	371
129	679	366
130	683	360
131	687	354
132	691	348
133	695	342
134	699	336
135	702	330
136	706	325
137	710	319
138	713	313
139	718	307
140	721	301
141	726	296
142	730	291
143	734	285
144	739	280
145	742	274
146	747	269
147	751	263
148	755	258
149	759	253
150	763	247
151	767	242
152	771	236
153	775	231
154	778	226
155	783	220
156	787	215
157	791	210
158	795	205
159	799	199
160	803	194
161	807	189
162	810	184
163	815	178
164	819	173
165	823	168
166	827	163
167	832	158
168	835	153
169	839	148
170	844	143
171	848	138
172	852	133
173	856	127
174	860	122
175	864	117
176	868	112
177	871	107
178	876	102
179	880	97
180	884	92
181	888	87
182	893	82
183	897	78
184	902	73
185	906	68
186	910	63
187	913	58
188	918	53
189	922	48
190	926	43
191	929	38
192	934	33
193	938	29
194	941	24
195	945	19
196	948	14
197	953	9
198	956	4
199	961	0
