iter	MultiClass
402	0.285665466
403	0.2854888907
404	0.2852933004
405	0.2851606208
406	0.2848675632
407	0.2846582743
408	0.2844067732
409	0.2841397305
410	0.2839420491
411	0.2836973353
412	0.2834372394
413	0.2832942637
414	0.2830796584
415	0.2827743377
416	0.2824516146
417	0.2822007337
418	0.2819277012
419	0.2816572383
420	0.2813049383
421	0.2810458171
422	0.2807653948
423	0.280490661
424	0.2801741227
425	0.2798865587
426	0.2796921557
427	0.2794568342
428	0.279181746
429	0.2788175196
430	0.2785764918
431	0.2784482071
432	0.2782189109
433	0.2780230547
434	0.2777464425
435	0.2775974062
436	0.2773309306
437	0.2770563386
438	0.2768872948
439	0.2766771199
440	0.2764201075
441	0.2761627052
442	0.2758667944
443	0.275678275
444	0.2754510521
445	0.2752460518
446	0.2749919457
447	0.2748429625
448	0.274599436
449	0.2744602881
450	0.2742322323
451	0.273962939
452	0.2736726105
453	0.2734808303
454	0.2733332116
455	0.2730739132
456	0.2728944847
457	0.2727385193
458	0.2725028434
459	0.2723750194
