antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Solvent:Toluene', 'Resin:Acrylic_A', 'Thickener:HEC'})",frozenset({'Pigment:TiO2'}),0.13,0.715,0.13,1.0,1.3986013986013988,1.0,0.03705,inf,0.3275862068965517,0.18181818181818182,1.0,0.5909090909090909
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.41,0.715,0.41,1.0,1.3986013986013988,1.0,0.11685000000000001,inf,0.4830508474576271,0.5734265734265733,1.0,0.7867132867132867
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.43,0.715,0.43,1.0,1.3986013986013988,1.0,0.12254999999999999,inf,0.49999999999999994,0.6013986013986014,1.0,0.8006993006993006
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Solvent:Toluene', 'Surfactant:Tego270', 'Thickener:HEC'})",frozenset({'Pigment:TiO2'}),0.18,0.715,0.18,1.0,1.3986013986013988,1.0,0.05130000000000001,inf,0.3475609756097562,0.2517482517482517,1.0,0.6258741258741258
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.13,0.715,0.13,1.0,1.3986013986013988,1.0,0.03705,inf,0.3275862068965517,0.18181818181818182,1.0,0.5909090909090909
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.42,0.715,0.42,1.0,1.3986013986013988,1.0,0.11970000000000003,inf,0.4913793103448277,0.5874125874125873,1.0,0.7937062937062938
"frozenset({'Thickener:HEUR', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.14,0.715,0.14,1.0,1.3986013986013988,1.0,0.039900000000000005,inf,0.33139534883720934,0.19580419580419584,1.0,0.5979020979020979
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.14,0.715,0.14,1.0,1.3986013986013988,1.0,0.039900000000000005,inf,0.33139534883720934,0.19580419580419584,1.0,0.5979020979020979
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.135,0.715,0.135,1.0,1.3986013986013988,1.0,0.03847500000000001,inf,0.3294797687861272,0.18881118881118883,1.0,0.5944055944055944
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.385,0.715,0.385,1.0,1.3986013986013988,1.0,0.10972500000000002,inf,0.4634146341463415,0.5384615384615384,1.0,0.7692307692307692
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene', 'Thickener:Xanthan', 'Surfactant:Tego270'})",frozenset({'Pigment:TiO2'}),0.135,0.715,0.135,1.0,1.3986013986013988,1.0,0.03847500000000001,inf,0.3294797687861272,0.18881118881118883,1.0,0.5944055944055944
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.155,0.555,0.15,0.9677419354838708,1.7436791630340012,1.0,0.06397499999999999,13.794999999999916,0.5047337278106508,0.26785714285714285,0.9275099673794849,0.6190061028770705
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.155,0.615,0.15,0.9677419354838708,1.5735641227380013,1.0,0.054675,11.93499999999993,0.43136094674556213,0.24193548387096772,0.9162128194386254,0.6058221872541305
